Count,id,yep,var,barcode,timestamp,yep,area_cm2_mesocarpo,area_cm2_endocarpo,area_cm2_endocarpo_noseeds,area_cm2_fruto,area_cm2_semillas,height_cm_fruto,width_cm_endocarpo,width_cm_fruto,width_cm_mesocarpo,num_units_semillas,ratio_percent_endocarpo,ratio_percent_semillas,color_endo.meso,Comments
1,L6-TP-1-9,,TP,2994,01-11-22,,14.585,9.114,7.376,23.699,1.738,5.427,3.415,5.583,1.032,15,0.625,0.191,verde.verde,
2,L6-TP-3-3,,TP,2983,01-11-22,,21.482,19.706,17.019,41.188,2.687,7.134,5.027,7.385,1.126,30,0.917,0.136,verde.verde,
3,L6-TP-3-4,L6-TP-3-4,TP,2999,01-11-22,2999,18.024,15.922,13.431,33.946,2.491,6.529,4.596,6.483,1.018,30,0.883,0.156,verde.verde,
4,L6-TP-3-7,L6-TP-3-7,TP,3002,01-11-22,3002,20.877,15.361,13.543,36.238,1.818,6.652,4.376,6.878,1.121,17,0.736,0.118,verde.verde,
5,L6-TP-4-8,L6-TP-4-8,TP,2998,01-11-22,2998,15.669,8.738,7.408,24.407,1.33,5.733,2.974,5.435,1.2,12,0.558,0.152,verde.verde,
6,L6-TP-5-13,L6-TP-5-13,TP,3000,01-11-22,3000,19.739,15.984,14.795,35.723,1.189,6.578,4.612,6.944,1.067,21,0.810,0.074,verde.verde,
7,L9-HB-13-18,,HB,4130,02-09-23,,11.534,8.774,7.573,20.308,1.201,5.279,3.286,5.096,0.829,26,0.761,0.137,verde.verde,
8,L9-HB-4-19,,HB,4132,02-09-23,,15.371,9.792,8.92,25.163,0.872,5.308,3.383,5.922,1.042,13,0.637,0.089,verde.verde,babosidad en la foto y semillas en pericarpo?
9,L6-TP-4-15,,TP,3670,07-08-23,,16.793,9.531,8.092,26.324,1.439,5.592,3.457,5.964,1.14,12,0.568,0.151,verde.verde,
10,L6-TP-5-10,,TP,3629,07-08-23,,11.686,8.241,6.739,19.927,1.502,4.981,3.228,5.073,0.954,18,0.705,0.182,verde.verde,
11,L6-TP-6-7,,TP,3640,07-08-23,,16.764,8.662,7.158,25.426,1.504,5.762,3.33,5.717,1.17,16,0.517,0.174,verde.verde,
12,L6-TP-6-8,,TP,3636,07-08-23,,15.506,10.506,8.762,26.012,1.744,5.668,3.568,5.798,1.009,25,0.678,0.166,verde.verde,
13,L8-TH-100-19,,TH,4298,12-09-23,,6.853,5.492,4.09,12.345,1.402,4.017,2.591,3.772,0.641,23,0.801,0.255,rosa.rosa,"huecos no contados como 6, pericarpo amarillo se ve"
14,L8-TH-100-64,,TH,4292,12-09-23,,7.213,7.535,6.446,14.748,1.089,4.205,3.113,4.378,0.582,17,1.045,0.145,rosa.rosa,
15,L8-TH-101-18,,TH,4247,12-09-23,,11.709,10.033,8.825,21.742,1.208,5.309,3.601,5.196,0.79,14,0.857,0.120,rosa.rosa,huecos no contados como 6
16,L8-TH-99-12,,TH,4254,12-09-23,,8.718,6.157,5.314,14.875,0.843,4.502,2.819,4.488,0.805,9,0.706,0.137,rosa.rosa,huecos no contados como 3 y un golpe
17,L8-TH-99-15,,TH,4250,12-09-23,,10.833,8.609,7.446,19.442,1.163,5.082,3.255,4.716,0.769,14,0.795,0.135,rosa.rosa,
18,L8-TH-99-20,,TH,4262,12-09-23,,9.042,10.609,9.002,19.651,1.607,5.031,3.747,5.135,0.637,21,1.173,0.151,rosa.rosa,huecos no contados como 6
19,L9-CH-18-3,,CH,2941,14-10-22,,30.764,13.664,11.834,44.428,1.83,7.278,4.329,7.738,1.665,21,0.444,0.134,verde.verde,huecos no contados como 5
20,L9-CH-18-9,,CH,2937,14-10-22,,29.278,15.713,11.819,44.991,3.894,7.575,4.314,7.463,1.548,27,0.537,0.248,verde.verde,
21,L9-CH-19-3,,CH,2892,14-10-22,,26.65,16.334,13.953,42.984,2.381,7.351,4.579,7.423,1.421,28,0.613,0.146,verde.verde,
22,L9-CH-19-8,,CH,2895,14-10-22,,20.928,16.383,14.226,37.311,2.157,6.712,4.72,6.927,1.217,24,0.783,0.132,verde.verde,
23,L9-CH-20-42,,CH,2900,14-10-22,,24.433,18.928,16.306,43.361,2.622,7.193,4.8,7.542,1.289,28,0.775,0.139,verde.verde,huecos no contados como 8
24,L9-CH-21-12,,CH,2906,14-10-22,,25.019,17.401,14.481,42.42,2.92,7.336,4.899,7.502,1.263,25,0.696,0.168,verde.verde,huecos no contados como 6
25,L9-CH-21-4,,CH,2916,14-10-22,,9.073,10.515,8.168,19.588,2.347,5.108,3.625,4.886,0.656,36,1.159,0.223,verde.verde,
26,L9-CH-21-9,,CH,2911,14-10-22,,25.14,20.494,17.871,45.634,2.623,7.385,5.18,7.815,1.228,29,0.815,0.128,verde.verde,huecos no contados como 9
